BusID,RouteType,TimeStep,SoC,Voltage,Current,Temperature,CycleCount,AhThroughput,CalendarAge,Capacity,SoH,AvgDoD,Speed,Passengers,IsCharging,IsRegenerating
Bus-001,CITY_CENTER,79,0.8674269,358.14728,-8.130539,26.053078,0.25919628,212.25829,0.054861173,300.0,100.0,0.3522145,21.0,39,false,true
Bus-001,CITY_CENTER,80,0.8721295,358.38315,-76.5492,26.069874,0.2638989,216.19482,0.05555562,300.0,100.0,0.36401942,0.0,38,false,false
Bus-001,CITY_CENTER,81,0.8721295,358.60648,-53.584442,26.068073,0.2638989,216.19482,0.056250066,300.0,100.0,0.36401942,0.0,38,false,false
Bus-001,CITY_CENTER,82,0.8721295,358.60648,-37.50911,26.066277,0.2638989,216.19482,0.05694451,300.0,100.0,0.36401942,15.0,37,false,false
Bus-001,CITY_CENTER,83,0.8631014,358.58383,93.74363,26.117815,0.272927,222.8615,0.057638958,300.0,100.0,0.36401942,15.0,36,false,false
Bus-001,CITY_CENTER,84,0.85417473,358.13263,185.62054,26.16934,0.28185368,229.52817,0.058333404,300.0,100.0,0.36401942,30.0,36,false,false
Bus-001,CITY_CENTER,85,0.8507944,357.70023,180.96576,26.177162,0.28523403,232.36325,0.05902785,300.0,100.0,0.36401942,30.0,35,false,false
Bus-001,CITY_CENTER,86,0.84787476,357.53238,170.77243,26.18254,0.28815365,234.81305,0.059722297,300.0,100.0,0.36401942,30.0,34,false,false
Bus-001,CITY_CENTER,87,0.8455295,357.38782,154.97702,26.18537,0.29049894,236.78174,0.060416743,300.0,100.0,0.36401942,30.0,33,false,false
Bus-001,CITY_CENTER,88,0.843836,357.27222,134.08057,26.185974,0.29219246,238.20378,0.06111119,300.0,100.0,0.36401942,21.0,32,false,true
Bus-001,CITY_CENTER,89,0.8484275,357.20337,24.444954,26.202002,0.29678395,242.05997,0.061805636,300.0,100.0,0.3735323,21.0,32,false,true
Bus-001,CITY_CENTER,90,0.85301894,357.43295,-52.255386,26.218002,0.30137545,245.91368,0.06250008,300.0,100.0,0.38209388,0.0,31,false,false
Bus-001,CITY_CENTER,91,0.85301894,357.65094,-36.57877,26.216179,0.30137545,245.91368,0.06319453,300.0,100.0,0.38209388,0.0,30,false,false
Bus-001,CITY_CENTER,92,0.85301894,357.65094,-25.605139,26.21436,0.30137545,245.91368,0.063888974,300.0,100.0,0.38209388,15.0,29,false,false
Bus-001,CITY_CENTER,93,0.8467499,357.63516,76.73341,26.245728,0.30764446,251.17241,0.06458342,300.0,100.0,0.38209388,15.0,28,false,false
Bus-001,CITY_CENTER,94,0.8406461,357.3221,145.9564,26.275417,0.31374824,256.29703,0.06527787,300.0,100.0,0.38209388,30.0,28,false,false
Bus-001,CITY_CENTER,95,0.8423428,357.03656,76.50725,26.276026,0.31544498,257.72272,0.06597231,300.0,100.0,0.3608518,30.0,27,false,false
Bus-001,CITY_CENTER,96,0.8439906,357.12128,28.637949,26.276497,0.31709284,259.107,0.06666676,300.0,100.0,0.3412452,30.0,26,false,false
Bus-001,CITY_CENTER,97,0.8454251,357.20312,-1.6392422,26.276413,0.3185273,260.31177,0.067361206,300.0,100.0,0.32146555,30.0,25,false,false
Bus-001,CITY_CENTER,98,0.8464963,357.27393,-17.337025,26.275562,0.31959844,261.21118,0.06805565,300.0,100.0,0.3000303,21.0,25,false,true
Bus-001,CITY_CENTER,99,0.8509766,357.33612,-79.84179,26.29072,0.32407877,264.97263,0.0687501,300.0,100.0,0.31483048,21.0,24,false,true
Bus-001,CITY_CENTER,100,0.85544103,357.56006,-123.31289,26.305733,0.32854322,268.71838,0.069444545,300.0,100.0,0.32799187,0.0,23,true,false
Bus-001,CITY_CENTER,101,0.86377436,357.77203,-86.31902,26.303907,0.32854322,268.71838,0.07013899,300.0,100.0,0.32799187,0.0,22,true,false
